,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10","2, 3, 4, 5, 6, 7, 8, 9, 10","2, 3, 4, 5, 6, 7, 9, 10","4, 5, 6, 7, 8, 9, 10","5, 6, 7, 8, 9, 10"
0,1003,1086,493,1001,7214
1,1006,1120,,1197,
2,1020,1151,,163,
3,1021,1237,,784,
4,1026,982,,,
5,1027,,,,
6,1032,,,,
7,1033,,,,
8,1036,,,,
9,1042,,,,
10,1048,,,,
11,1051,,,,
12,1053,,,,
13,1067,,,,
14,1070,,,,
15,1075,,,,
16,1078,,,,
17,1093,,,,
18,1101,,,,
19,1109,,,,
20,1112,,,,
21,1121,,,,
22,1122,,,,
23,1124,,,,
24,1128,,,,
25,113,,,,
26,1134,,,,
27,114,,,,
28,1144,,,,
29,1170,,,,
30,1192,,,,
31,1202,,,,
32,131,,,,
33,133,,,,
34,158,,,,
35,1585,,,,
36,1595,,,,
37,1600,,,,
38,1606,,,,
39,1619,,,,
40,1620,,,,
41,1650,,,,
42,1691,,,,
43,1699,,,,
44,1706,,,,
45,1707,,,,
46,1712,,,,
47,1713,,,,
48,1723,,,,
49,1726,,,,
50,1733,,,,
51,1735,,,,
52,1742,,,,
53,1752,,,,
54,1753,,,,
55,1754,,,,
56,1755,,,,
57,1756,,,,
58,1762,,,,
59,1767,,,,
60,1768,,,,
61,1770,,,,
62,1774,,,,
63,1777,,,,
64,1782,,,,
65,1783,,,,
66,1797,,,,
67,1801,,,,
68,1817,,,,
69,1818,,,,
70,182,,,,
71,1828,,,,
72,1829,,,,
73,1833,,,,
74,1835,,,,
75,1847,,,,
76,1848,,,,
77,185,,,,
78,1851,,,,
79,1864,,,,
80,1872,,,,
81,1883,,,,
82,1910,,,,
83,1916,,,,
84,198,,,,
85,204,,,,
86,2188,,,,
87,292,,,,
88,295,,,,
89,297,,,,
90,300,,,,
91,306,,,,
92,317,,,,
93,319,,,,
94,320,,,,
95,361,,,,
96,362,,,,
97,364,,,,
98,365,,,,
99,367,,,,
100,368,,,,
101,372,,,,
102,373,,,,
103,374,,,,
104,378,,,,
105,382,,,,
106,384,,,,
107,385,,,,
108,386,,,,
109,390,,,,
110,391,,,,
111,398,,,,
112,413,,,,
113,415,,,,
114,416,,,,
115,420,,,,
116,421,,,,
117,423,,,,
118,431,,,,
119,438,,,,
120,442,,,,
121,445,,,,
122,450,,,,
123,451,,,,
124,456,,,,
125,460,,,,
126,467,,,,
127,469,,,,
128,470,,,,
129,471,,,,
130,473,,,,
131,477,,,,
132,488,,,,
133,492,,,,
134,497,,,,
135,502,,,,
136,505,,,,
137,508,,,,
138,509,,,,
139,511,,,,
140,524,,,,
141,529,,,,
142,530,,,,
143,531,,,,
144,533,,,,
145,536,,,,
146,537,,,,
147,541,,,,
148,542,,,,
149,55,,,,
150,567,,,,
151,57,,,,
152,572,,,,
153,574,,,,
154,575,,,,
155,597,,,,
156,60,,,,
157,601,,,,
158,610,,,,
159,616,,,,
160,629,,,,
161,7306,,,,
162,7308,,,,
163,7311,,,,
164,7313,,,,
165,7317,,,,
166,753,,,,
167,758,,,,
168,777,,,,
169,78,,,,
170,789,,,,
171,798,,,,
172,854,,,,
173,868,,,,
174,870,,,,
175,872,,,,
176,882,,,,
177,884,,,,
178,893,,,,
179,898,,,,
180,903,,,,
181,920,,,,
182,929,,,,
183,931,,,,
184,936,,,,
185,938,,,,
186,939,,,,
187,947,,,,
188,948,,,,
189,952,,,,
190,953,,,,
191,957,,,,
192,962,,,,
193,963,,,,
194,969,,,,
195,974,,,,
196,987,,,,
197,989,,,,
198,mb_1,,,,
199,mb_10,,,,
200,mb_11,,,,
201,mb_12,,,,
202,mb_13,,,,
203,mb_15,,,,
204,mb_16,,,,
205,mb_18,,,,
206,mb_2,,,,
207,mb_3,,,,
208,mb_4,,,,
209,mb_6,,,,
210,mb_7,,,,
211,mb_9,,,,
